"id","name","code"
nationality_171,"Mauritius","MUS"
nationality_172,"Mayotte","MYT"
nationality_173,"Mexico","MEX"
nationality_174,"Micronesia,Federated States of","FSH"
nationality_175,"Moldova,Repulic of","MDA"
nationality_176,"Monaco","MCO"
nationality_177,"Mongolia","MNG"
nationality_178,"Montenegro","MNE"
nationality_179,"Montserrat","MSR"
nationality_180,"Morocco","MAR"
nationality_181,"Mozambique","MOZ"
nationality_182,"Myanmar","MMR"
nationality_183,"Namibia","NAM"
nationality_184,"Nauru","NRU"
nationality_185,"Nepal","NPL"
nationality_186,"Netherlands","NLD"
nationality_187,"New Caledonia","NCL"
nationality_188,"New Zealand","NZL"
nationality_189,"Nicaragua","NIC"
nationality_190,"Niger","NER"
nationality_191,"Nigeria","NGA"
nationality_192,"NIue","NIU"
nationality_193,"Norfolk Island","NFK"
nationality_194,"Northern Mariana Islands","MNP"
nationality_195,"Norway","NOR"
nationality_196,"Oman","OMN"
nationality_197,"Pakistan","PAK"
nationality_198,"Palau","PLW"
nationality_199,"Palestine,State of","PSE"
nationality_200,"Panama","PAN"
nationality_201,"Papua New Guinea","PNG"
nationality_202,"Paraguay","PRY"
nationality_203,"Peru","PER"
nationality_204,"Philippines","PHL"
nationality_205,"Pitcairn","PCN"
nationality_206,"Poland","POL"
nationality_207,"Portugal","PRT"
nationality_208,"Puerto rico","PRI"
nationality_209,"Qatar","QAT"
nationality_210,"San Marino","SMR"
nationality_211,"Somalia","SOM"
nationality_212,"South Georgra and the souul","SGS"
nationality_213,"United Arab Emirtes","ARE"
nationality_214,"US Virgin Islands","VIR"
nationality_215,"Aland Islands","ALA"
nationality_216,"Other","AAA"
nationality_217,"Austria","AUT"
nationality_218,"Brazil","BRA"
nationality_219,"Albania","ALB"
nationality_220,"American Samoa","ASM"
nationality_221,"Andorra","AND"
nationality_222,"Angola","AGO"
nationality_223,"Anguilla","AIA"
nationality_224,"Antarctica","ATA"
nationality_225,"Antigua and Barbuda","ATG"
nationality_226,"Argentina","ARG"
nationality_227,"Armenia","ARM"
nationality_228,"Aruba","ABW"
nationality_229,"Australia","AUS"
nationality_230,"Azebaijan","AZE"
nationality_231,"Bahamas","BHS"
nationality_232,"Bahrain","BHR"
nationality_234,"Bangladesh","BGD"
nationality_235,"Barbados","BRB"
nationality_236,"Belarus","BLR"
nationality_237,"Belgium","BEL"
nationality_238,"Belize","BLZ"
nationality_238,"Benin","BEN"
nationality_239,"Bermuda","BMU"
nationality_240,"Bolivia","BOL"
nationality_241,"Bonaire","BES"
nationality_242,"Bosnia and Herzegovina","BIH"
nationality_243,"Brunei Darussalam","BRN"
nationality_244,"Bulgaria","BGR"
nationality_245,"Burkina Faso","BFA"
nationality_246,"Burundi","BDI"
nationality_247,"French Southern Territories","ATF"
nationality_248,"Saint Vincent and the Grenadie","VCT"
nationality_249,"Saint Barthalemy","BLM"
nationality_250,"Tam Zania","TZA"
nationality_251,"Cambodia","CBA"


